"filter_level","retweeted","jDate","in_reply_to_screen_name","possibly_sensitive","truncated","lang","in_reply_to_status_id_str","id","extended_entities","in_reply_to_user_id_str","X_id","timestamp_ms","in_reply_to_status_id","created_at","favorite_count","place","coordinates","retweeted_status","text","contributors","geo","entities","source","favorited","in_reply_to_user_id","retweet_count","id_str","user","manual_class"
"medium","false","Sat Sep 20 21:52:39 MST 2014","","false","false","en","","5.1355135567254733E17","",NA,"541e59955a1f1d75cb4025cf",1411275159179,"","Sun Sep 21 04:52:39 +0000 2014",0,"","",NA,"I think I'm at the point in life where I wouldn't kill myself, but I wouldn't mind somebody doing it.",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","false",NA,0,"513551355672547328","{ ""id"" : 463458699 , ""id_str"" : ""463458699"" , ""name"" : ""EverybodyHatesChris"" , ""screen_name"" : ""Chris_Dibiase"" , ""location"" : ""Revis Island"" , ""url"" :  null  , ""description"" : ""Just trying to add another 0 to my bank account, and not let Nas down."" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 250 , ""friends_count"" : 205 , ""listed_count"" : 2 , ""favourites_count"" : 122 , ""statuses_count"" : 12276 , ""created_at"" : ""Sat Jan 14 03:57:16 +0000 2012"" , ""utc_offset"" :  null  , ""time_zone"" :  null  , ""geo_enabled"" : false , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""C0DEED"" , ""profile_background_image_url"" : ""http://abs.twimg.com/images/themes/theme1/bg.png"" , ""profile_background_image_url_https"" : ""https://abs.twimg.com/images/themes/theme1/bg.png"" , ""profile_background_tile"" : false , ""profile_link_color"" : ""0084B4"" , ""profile_sidebar_border_color"" : ""C0DEED"" , ""profile_sidebar_fill_color"" : ""DDEEF6"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : true , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/510116281534918656/AhMyJR5I_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/510116281534918656/AhMyJR5I_normal.jpeg"" , ""default_profile"" : true , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",1
"medium","false","Sat Sep 20 22:10:14 MST 2014","","false","false","en","","5.1355578261321728E17","",NA,"541e5db45a1f1d75cb40264d",1411276214643,"","Sun Sep 21 05:10:14 +0000 2014",0,"","",NA,"I work 5:30-2 tomorrow should I just kill myself now??",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",NA,0,"513555782613217281","{ ""id"" : 1148852330 , ""id_str"" : ""1148852330"" , ""name"" : ""Elana Williams"" , ""screen_name"" : ""mellowkitty_"" , ""location"" : """" , ""url"" :  null  , ""description"" : ""peachy keen (✿◠‿◠)"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 106 , ""friends_count"" : 102 , ""listed_count"" : 0 , ""favourites_count"" : 1555 , ""statuses_count"" : 5379 , ""created_at"" : ""Mon Feb 04 19:17:01 +0000 2013"" , ""utc_offset"" : -25200 , ""time_zone"" : ""Arizona"" , ""geo_enabled"" : false , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""C0DEED"" , ""profile_background_image_url"" : ""http://abs.twimg.com/images/themes/theme1/bg.png"" , ""profile_background_image_url_https"" : ""https://abs.twimg.com/images/themes/theme1/bg.png"" , ""profile_background_tile"" : false , ""profile_link_color"" : ""0084B4"" , ""profile_sidebar_border_color"" : ""C0DEED"" , ""profile_sidebar_fill_color"" : ""DDEEF6"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : true , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/511727676860559361/bWBW0fLZ_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/511727676860559361/bWBW0fLZ_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/1148852330/1410983470"" , ""default_profile"" : true , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",0
"medium","false","Sat Sep 20 22:10:56 MST 2014","","false","false","en","","5.1355595717596365E17","",NA,"541e5dde5a1f1d75cb402650",1411276256264,"","Sun Sep 21 05:10:56 +0000 2014",0,"","",NA,"Omg gonna fucking kill myself forreal",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",NA,0,"513555957175963649","{ ""id"" : 2.21201969E9 , ""id_str"" : ""2212019690"" , ""name"" : ""SPΔCΞMΔN"" , ""screen_name"" : ""00Jesruiz"" , ""location"" : ""Austin"" , ""url"" :  null  , ""description"" : ""I'm in love with basketball, chocolate chip cookies, and Ana Limas❤️"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 62 , ""friends_count"" : 86 , ""listed_count"" : 1 , ""favourites_count"" : 342 , ""statuses_count"" : 378 , ""created_at"" : ""Sun Nov 24 06:35:29 +0000 2013"" , ""utc_offset"" :  null  , ""time_zone"" :  null  , ""geo_enabled"" : false , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""C0DEED"" , ""profile_background_image_url"" : ""http://abs.twimg.com/images/themes/theme1/bg.png"" , ""profile_background_image_url_https"" : ""https://abs.twimg.com/images/themes/theme1/bg.png"" , ""profile_background_tile"" : false , ""profile_link_color"" : ""0084B4"" , ""profile_sidebar_border_color"" : ""C0DEED"" , ""profile_sidebar_fill_color"" : ""DDEEF6"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : true , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/509980393723166720/JKJKVjA3_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/509980393723166720/JKJKVjA3_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/2212019690/1411104011"" , ""default_profile"" : true , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",1
"medium","false","Sat Sep 20 21:52:21 MST 2014","","false","false","en","","5.1355128308591411E17","",NA,"541e59845a1f1d75cb4025cd",1411275141870,"","Sun Sep 21 04:52:21 +0000 2014",0,"","",NA,"I swear if by next year I'm not performing a bonnaroo I'll kill myself",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",NA,0,"513551283085914112","{ ""id"" : 487171082 , ""id_str"" : ""487171082"" , ""name"" : ""shelby orrender〰"" , ""screen_name"" : ""shelbyorrender"" , ""location"" : """" , ""url"" :  null  , ""description"" : ""I kinda sorta play the drums"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 108 , ""friends_count"" : 99 , ""listed_count"" : 2 , ""favourites_count"" : 1373 , ""statuses_count"" : 4563 , ""created_at"" : ""Thu Feb 09 02:39:43 +0000 2012"" , ""utc_offset"" : -14400 , ""time_zone"" : ""Eastern Time (US & Canada)"" , ""geo_enabled"" : false , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""C0DEED"" , ""profile_background_image_url"" : ""http://pbs.twimg.com/profile_background_images/540833587/browniesinthesand.jpg"" , ""profile_background_image_url_https"" : ""https://pbs.twimg.com/profile_background_images/540833587/browniesinthesand.jpg"" , ""profile_background_tile"" : true , ""profile_link_color"" : ""0084B4"" , ""profile_sidebar_border_color"" : ""FFFFFF"" , ""profile_sidebar_fill_color"" : ""DDEEF6"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : false , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/509061734498586624/52Wcqurb_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/509061734498586624/52Wcqurb_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/487171082/1408853264"" , ""default_profile"" : false , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",0
"medium","false","Sat Sep 20 22:07:31 MST 2014","","false","false","en","","5.1355509649260544E17","",NA,"541e5d115a1f1d75cb40263a",1411276051058,"","Sun Sep 21 05:07:31 +0000 2014",0,"","",NA,"I ALMOST SWALLOWED A SPIDER THAT WAS IN MY DRINK I AM ABOUT TO FUCKING KILL MYSELF",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",NA,0,"513555096492605440","{ ""id"" : 715156070 , ""id_str"" : ""715156070"" , ""name"" : ""Cait"" , ""screen_name"" : ""Cait_Conn"" , ""location"" : """" , ""url"" :  null  , ""description"" : ""Idgaf"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 258 , ""friends_count"" : 158 , ""listed_count"" : 0 , ""favourites_count"" : 13271 , ""statuses_count"" : 8674 , ""created_at"" : ""Wed Jul 25 00:11:14 +0000 2012"" , ""utc_offset"" : -10800 , ""time_zone"" : ""Atlantic Time (Canada)"" , ""geo_enabled"" : true , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""C0DEED"" , ""profile_background_image_url"" : ""http://pbs.twimg.com/profile_background_images/679907253/acdef2e82bf3aa35cd8d513e2c815600.jpeg"" , ""profile_background_image_url_https"" : ""https://pbs.twimg.com/profile_background_images/679907253/acdef2e82bf3aa35cd8d513e2c815600.jpeg"" , ""profile_background_tile"" : true , ""profile_link_color"" : ""0084B4"" , ""profile_sidebar_border_color"" : ""FFFFFF"" , ""profile_sidebar_fill_color"" : ""DDEEF6"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : true , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/512980625738170368/niJ27f8p_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/512980625738170368/niJ27f8p_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/715156070/1409369787"" , ""default_profile"" : false , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",0
"medium","false","Sat Sep 20 22:07:37 MST 2014","","false","false","en","","5.1355512454789939E17","",NA,"541e5d175a1f1d75cb40263b",1411276057748,"","Sun Sep 21 05:07:37 +0000 2014",0,"","",NA,"Id rather shoot myself than kill myself",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",NA,0,"513555124547899392","{ ""id"" : 2.560351496E9 , ""id_str"" : ""2560351496"" , ""name"" : ""Cameron"" , ""screen_name"" : ""xpIorer"" , ""location"" : ""paradise"" , ""url"" :  null  , ""description"" : ""Im Cahmz"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 160 , ""friends_count"" : 74 , ""listed_count"" : 0 , ""favourites_count"" : 6641 , ""statuses_count"" : 7808 , ""created_at"" : ""Wed Jun 11 02:17:11 +0000 2014"" , ""utc_offset"" : -25200 , ""time_zone"" : ""Arizona"" , ""geo_enabled"" : false , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""C0DEED"" , ""profile_background_image_url"" : ""http://pbs.twimg.com/profile_background_images/489242883577241601/6DpZCSPV.png"" , ""profile_background_image_url_https"" : ""https://pbs.twimg.com/profile_background_images/489242883577241601/6DpZCSPV.png"" , ""profile_background_tile"" : false , ""profile_link_color"" : ""0084B4"" , ""profile_sidebar_border_color"" : ""FFFFFF"" , ""profile_sidebar_fill_color"" : ""DDEEF6"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : false , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/506923221929586688/KO4IyUAc_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/506923221929586688/KO4IyUAc_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/2560351496/1410017632"" , ""default_profile"" : false , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",1
"medium","false","Sat Sep 20 22:08:00 MST 2014","","false","false","en","","5.135552211343319E17","",NA,"541e5d2e5a1f1d75cb40263e",1411276080775,"","Sun Sep 21 05:08:00 +0000 2014",0,"","",NA,"Smoking this black mind gone ion kno wat to do but Ian fina kill myself ima leave det up to u",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",NA,0,"513555221134331905","{ ""id"" : 339839953 , ""id_str"" : ""339839953"" , ""name"" : ""OnlyCanBeMe #Label"" , ""screen_name"" : ""EatDha_DickUp"" , ""location"" : ""Some Wea Wit Bandz.!!"" , ""url"" :  null  , ""description"" : ""#Jr'sDaddy #FreeGummy #Purple Label!"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 1989 , ""friends_count"" : 1748 , ""listed_count"" : 2 , ""favourites_count"" : 2380 , ""statuses_count"" : 72298 , ""created_at"" : ""Thu Jul 21 18:58:53 +0000 2011"" , ""utc_offset"" : -36000 , ""time_zone"" : ""Hawaii"" , ""geo_enabled"" : true , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""C0DEED"" , ""profile_background_image_url"" : ""http://pbs.twimg.com/profile_background_images/446138416/Boosie.jpg"" , ""profile_background_image_url_https"" : ""https://pbs.twimg.com/profile_background_images/446138416/Boosie.jpg"" , ""profile_background_tile"" : false , ""profile_link_color"" : ""0084B4"" , ""profile_sidebar_border_color"" : ""C0DEED"" , ""profile_sidebar_fill_color"" : ""DDEEF6"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : true , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/513105565409480705/YScfm0nS_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/513105565409480705/YScfm0nS_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/339839953/1411168875"" , ""default_profile"" : false , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",1
"medium","false","Sat Sep 20 22:08:13 MST 2014","","false","false","en","","5.135552755264471E17","",NA,"541e5d3b5a1f1d75cb40263f",1411276093743,"","Sun Sep 21 05:08:13 +0000 2014",0,"","",NA,"sleeping at my house on a weekend makes me want to kill myself lololol",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",NA,0,"513555275526447104","{ ""id"" : 385599577 , ""id_str"" : ""385599577"" , ""name"" : ""SΛΜ ☠"" , ""screen_name"" : ""samsnotalive"" , ""location"" : ""ICE Alumni"" , ""url"" :  null  , ""description"" : ""my hair is as dark as my soul"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 683 , ""friends_count"" : 342 , ""listed_count"" : 1 , ""favourites_count"" : 25375 , ""statuses_count"" : 42190 , ""created_at"" : ""Wed Oct 05 19:47:39 +0000 2011"" , ""utc_offset"" : -21600 , ""time_zone"" : ""Mountain Time (US & Canada)"" , ""geo_enabled"" : true , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""ACDED6"" , ""profile_background_image_url"" : ""http://pbs.twimg.com/profile_background_images/875153720/2b81f8240ca5e2ba22d40fc2916e4413.jpeg"" , ""profile_background_image_url_https"" : ""https://pbs.twimg.com/profile_background_images/875153720/2b81f8240ca5e2ba22d40fc2916e4413.jpeg"" , ""profile_background_tile"" : true , ""profile_link_color"" : ""038543"" , ""profile_sidebar_border_color"" : ""FFFFFF"" , ""profile_sidebar_fill_color"" : ""7AC3EE"" , ""profile_text_color"" : ""3D1957"" , ""profile_use_background_image"" : true , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/511291992585015296/JZ81Ubm7_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/511291992585015296/JZ81Ubm7_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/385599577/1410736510"" , ""default_profile"" : false , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",0
"medium","false","Sat Sep 20 22:08:16 MST 2014","","false","false","en","","5.1355528868777165E17","",NA,"541e5d3e5a1f1d75cb402641",1411276096883,"","Sun Sep 21 05:08:16 +0000 2014",0,"{ ""id"" : ""7142eb97ae21e839"" , ""url"" : ""https://api.twitter.com/1.1/geo/id/7142eb97ae21e839.json"" , ""place_type"" : ""admin"" , ""name"" : ""Georgia"" , ""full_name"" : ""Georgia, US"" , ""country_code"" : ""US"" , ""country"" : ""United States"" , ""bounding_box"" : { ""type"" : ""Polygon"" , ""coordinates"" : [ [ [ -85.605166 , 30.355644] , [ -85.605166 , 35.000771] , [ -80.742567 , 35.000771] , [ -80.742567 , 30.355644]]]} , ""attributes"" : { }}","{ ""type"" : ""Point"" , ""coordinates"" : [ -83.970062 , 33.63959]}",NA,"My back is killing me so I might as well kill myself as well",NA,"{ ""type"" : ""Point"" , ""coordinates"" : [ 33.63959 , -83.970062]}","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false",NA,0,"513555288687771650","{ ""id"" : 367476114 , ""id_str"" : ""367476114"" , ""name"" : ""Younger Toguro"" , ""screen_name"" : ""NIGHTMAMBA"" , ""location"" : ""Swerve City"" , ""url"" : ""http://facebook.com/NoGhostAtl"" , ""description"" : ""New York Rangers."" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 503 , ""friends_count"" : 291 , ""listed_count"" : 1 , ""favourites_count"" : 6872 , ""statuses_count"" : 37310 , ""created_at"" : ""Sun Sep 04 01:29:24 +0000 2011"" , ""utc_offset"" : -10800 , ""time_zone"" : ""Brasilia"" , ""geo_enabled"" : true , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""131516"" , ""profile_background_image_url"" : ""http://abs.twimg.com/images/themes/theme14/bg.gif"" , ""profile_background_image_url_https"" : ""https://abs.twimg.com/images/themes/theme14/bg.gif"" , ""profile_background_tile"" : true , ""profile_link_color"" : ""009999"" , ""profile_sidebar_border_color"" : ""FFFFFF"" , ""profile_sidebar_fill_color"" : ""EFEFEF"" , ""profile_text_color"" : ""333333"" , ""profile_use_background_image"" : false , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/506099134583947265/eAC1Yv57_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/506099134583947265/eAC1Yv57_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/367476114/1410749036"" , ""default_profile"" : false , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",1
"medium","false","Sat Sep 20 22:09:18 MST 2014","","false","false","en","","5.1355554888561869E17","",NA,"541e5d7c5a1f1d75cb402645",1411276158916,"","Sun Sep 21 05:09:18 +0000 2014",0,"","",NA,"bitch gon die soon real soon if i have to kill her myself !",NA,"","{ ""hashtags"" : [ ] , ""trends"" : [ ] , ""urls"" : [ ] , ""user_mentions"" : [ ] , ""symbols"" : [ ]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false",NA,0,"513555548885618688","{ ""id"" : 2.792030833E9 , ""id_str"" : ""2792030833"" , ""name"" : ""Ky"" , ""screen_name"" : ""SeductiveKy"" , ""location"" : ""S/w DANCING"" , ""url"" :  null  , ""description"" : ""It's not what I do. It's who I am. Dance is my Everything. Nothing or Nobody will change that . ! #TeamDancer Missing the Old Days , but not my Old Ways . !"" , ""protected"" : false , ""verified"" : false , ""followers_count"" : 73 , ""friends_count"" : 263 , ""listed_count"" : 0 , ""favourites_count"" : 34 , ""statuses_count"" : 205 , ""created_at"" : ""Fri Sep 05 13:52:07 +0000 2014"" , ""utc_offset"" :  null  , ""time_zone"" :  null  , ""geo_enabled"" : false , ""lang"" : ""en"" , ""contributors_enabled"" : false , ""is_translator"" : false , ""profile_background_color"" : ""000000"" , ""profile_background_image_url"" : ""http://pbs.twimg.com/profile_background_images/507891967498268672/BEoWD5zK.jpeg"" , ""profile_background_image_url_https"" : ""https://pbs.twimg.com/profile_background_images/507891967498268672/BEoWD5zK.jpeg"" , ""profile_background_tile"" : true , ""profile_link_color"" : ""F5ABB5"" , ""profile_sidebar_border_color"" : ""000000"" , ""profile_sidebar_fill_color"" : ""000000"" , ""profile_text_color"" : ""000000"" , ""profile_use_background_image"" : true , ""profile_image_url"" : ""http://pbs.twimg.com/profile_images/507891280106369024/YLlZwUhV_normal.jpeg"" , ""profile_image_url_https"" : ""https://pbs.twimg.com/profile_images/507891280106369024/YLlZwUhV_normal.jpeg"" , ""profile_banner_url"" : ""https://pbs.twimg.com/profile_banners/2792030833/1409925711"" , ""default_profile"" : false , ""default_profile_image"" : false , ""following"" :  null  , ""follow_request_sent"" :  null  , ""notifications"" :  null }",0
